Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[comp.sys.mac.hardware]	DS_Pr[comp.graphics]	DS_Pr[comp.os.ms-windows.misc]	MV_Pr[comp.sys.mac.hardware]	MV_Pr[comp.graphics]	MV_Pr[comp.os.ms-windows.misc]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
10010	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10011	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10012	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10013	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10014	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10015	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10016	comp.os.ms-windows.misc	comp.sys.mac.hardware	comp.sys.mac.hardware	comp.sys.mac.hardware	comp.sys.mac.hardware	1.0000	0.0000	0.0000	0.8750	0.0000	0.1250	0.0000	0.2188	0.0000	0.1250	0.0000	0.1250	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	0.8750	100.00%	80.56%	100.00%	65.98%	100.00%	80.56%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-36.09%
10017	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.2500	0.7500	0.0000	0.3750	0.0000	0.2500	0.0000	0.2500	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	100.00%	61.12%	100.00%	41.67%	100.00%	61.12%	100.00%	100.00%	100.00%	100.00%	100.00%	61.12%
10018	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10019	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10020	comp.os.ms-windows.misc	comp.graphics	comp.graphics	comp.graphics	comp.graphics	0.0000	1.0000	0.0000	0.0000	0.8750	0.1250	0.0000	0.2188	0.0000	0.1250	0.0000	0.1250	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	0.8750	100.00%	80.56%	100.00%	65.98%	100.00%	80.56%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-36.09%
10021	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10022	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10023	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10024	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10025	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10026	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10027	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10028	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10029	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10030	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10031	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10032	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10033	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10034	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10035	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10036	comp.os.ms-windows.misc	comp.graphics	comp.os.ms-windows.misc	comp.graphics	comp.graphics	0.0000	1.0000	0.0000	0.0000	0.5000	0.5000	0.0000	0.5000	0.0000	0.5000	0.0000	0.5000	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	100.00%	22.23%	99.99%	22.23%	100.00%	22.23%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	22.23%
10037	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10038	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10039	comp.os.ms-windows.misc	comp.sys.mac.hardware	comp.sys.mac.hardware	comp.sys.mac.hardware	comp.sys.mac.hardware	1.0000	0.0000	0.0000	0.8750	0.0000	0.1250	0.0000	0.2188	0.0000	0.1250	0.0000	0.1250	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	0.8750	100.00%	80.56%	100.00%	65.98%	100.00%	80.56%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-36.09%
10040	comp.os.ms-windows.misc	comp.graphics	comp.graphics	comp.graphics	comp.graphics	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%
10041	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10042	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10043	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10044	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10045	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10046	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10047	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10048	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10049	comp.os.ms-windows.misc	comp.graphics	comp.graphics	comp.graphics	comp.graphics	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%
10050	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10051	comp.os.ms-windows.misc	comp.graphics	comp.graphics	comp.graphics	comp.graphics	0.0000	1.0000	0.0000	0.0000	0.7500	0.2500	0.0000	0.3750	0.0000	0.2500	0.0000	0.2500	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	0.7500	100.00%	61.12%	100.00%	41.67%	100.00%	61.12%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-16.65%
10052	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10053	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10054	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10055	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10056	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10057	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
