Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[GENV]	DS_Pr[GWEA]	DS_Pr[GDIS]	MV_Pr[GENV]	MV_Pr[GWEA]	MV_Pr[GDIS]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
1013	GDIS	GDIS	GDIS	GDIS	GDIS	0.0015	0.1844	0.8142	0.0000	0.4000	0.6000	0.3031	0.4800	0.1858	0.4000	0.1858	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1858	0.4000	63.22%	20.83%	40.01%	4.99%	63.22%	20.83%	100.00%	100.00%	100.00%	100.00%	63.22%	20.83%
1014	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1015	GDIS	GDIS	GDIS	GDIS	GDIS	0.0031	0.0002	0.9967	0.2000	0.0000	0.8000	0.0065	0.3200	0.0033	0.2000	0.0033	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0033	0.2000	99.35%	60.41%	98.71%	36.66%	99.35%	60.41%	100.00%	100.00%	100.00%	100.00%	99.35%	60.41%
1016	GENV	GENV	GENV	GENV	GENV	0.9949	0.0008	0.0043	1.0000	0.0000	0.0000	0.0103	0.0000	0.0052	0.0000	0.0052	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0052	0.0000	98.98%	100.00%	97.97%	100.00%	98.98%	100.00%	100.00%	100.00%	100.00%	100.00%	98.98%	100.00%
1017	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9983	0.0014	0.0000	1.0000	0.0000	0.0034	0.0000	0.0017	0.0000	0.0017	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	99.66%	100.00%	99.32%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.66%	100.00%
1018	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
1019	GDIS	GWEA	GDIS	GWEA	GWEA	0.0027	0.7216	0.2758	0.0000	0.5000	0.5000	0.4033	0.5000	0.2785	0.5000	0.2785	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.7243	0.5000	44.89%	1.04%	20.17%	1.04%	44.89%	1.04%	-97.93%	-97.93%	-97.93%	-97.93%	-43.35%	1.04%
102	GDIS	GDIS	GDIS	GDIS	GDIS	0.0031	0.0002	0.9967	0.2000	0.0000	0.8000	0.0065	0.3200	0.0033	0.2000	0.0033	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0033	0.2000	99.35%	60.41%	98.71%	36.66%	99.35%	60.41%	100.00%	100.00%	100.00%	100.00%	99.35%	60.41%
1020	GWEA	GDIS	GDIS	GDIS	GDIS	0.1253	0.1662	0.7085	0.2500	0.2500	0.5000	0.4547	0.6250	0.2915	0.5000	0.2915	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.8338	0.7500	42.30%	1.04%	10.00%	-23.71%	42.30%	1.04%	-97.93%	-97.93%	-97.93%	-97.93%	-65.03%	-48.45%
1021	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1022	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1023	GWEA	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%
1024	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1025	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1026	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1027	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1028	GDIS	GENV	GDIS	GENV	GENV	0.4978	0.0046	0.4976	0.5000	0.0000	0.5000	0.5046	0.5000	0.5022	0.5000	0.5022	0.5000	0.6240	0.5052	1.0000	0.0000	1.0000	1.0000	0.5024	0.5000	0.59%	1.04%	0.12%	1.04%	0.59%	1.04%	-97.93%	100.00%	-97.93%	-97.93%	0.56%	1.04%
1029	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
103	GDIS	GDIS	GDIS	GDIS	GDIS	0.0031	0.0002	0.9967	0.2000	0.0000	0.8000	0.0065	0.3200	0.0033	0.2000	0.0033	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0033	0.2000	99.35%	60.41%	98.71%	36.66%	99.35%	60.41%	100.00%	100.00%	100.00%	100.00%	99.35%	60.41%
1030	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
1031	GDIS	GDIS	GDIS	GDIS	GDIS	0.1190	0.0008	0.8802	0.4000	0.0000	0.6000	0.2112	0.4800	0.1198	0.4000	0.1198	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1198	0.4000	76.28%	20.83%	58.21%	4.99%	76.28%	20.83%	100.00%	100.00%	100.00%	100.00%	76.28%	20.83%
1032	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1033	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
1034	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9998	0.0002	0.0000	0.8000	0.2000	0.0004	0.3200	0.0002	0.2000	0.0002	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.2000	99.96%	60.41%	99.92%	36.66%	99.96%	60.41%	100.00%	100.00%	100.00%	100.00%	99.96%	60.41%
1035	GDIS	GDIS	GDIS	GDIS	GDIS	0.0906	0.0206	0.8888	0.2000	0.2000	0.6000	0.2014	0.5600	0.1112	0.4000	0.1112	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1112	0.4000	77.99%	20.83%	60.13%	-10.84%	77.99%	20.83%	100.00%	100.00%	100.00%	100.00%	77.99%	20.83%
1036	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1037	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9855	0.0142	0.0000	0.6000	0.4000	0.0285	0.4800	0.0145	0.4000	0.0145	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0145	0.4000	97.13%	20.83%	94.35%	4.99%	97.13%	20.83%	100.00%	100.00%	100.00%	100.00%	97.13%	20.83%
1038	GDIS	GENV	GENV	GENV	GENV	0.7761	0.0108	0.2131	0.6667	0.0000	0.3333	0.3522	0.4444	0.2239	0.3333	0.2239	0.3333	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.7869	0.6667	55.68%	34.02%	30.29%	12.03%	55.68%	34.02%	-97.93%	-97.93%	-97.93%	-97.93%	-55.75%	-31.95%
1039	GDIS	GDIS	GDIS	GDIS	GDIS	0.0225	0.0015	0.9760	0.2500	0.0000	0.7500	0.0469	0.3750	0.0240	0.2500	0.0240	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0240	0.2500	95.25%	50.52%	90.72%	25.78%	95.25%	50.52%	100.00%	100.00%	100.00%	100.00%	95.25%	50.52%
104	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1040	GDIS	GDIS	GDIS	GDIS	GDIS	0.0007	0.0033	0.9960	0.0000	0.2000	0.8000	0.0080	0.3200	0.0040	0.2000	0.0040	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0040	0.2000	99.21%	60.41%	98.42%	36.66%	99.21%	60.41%	100.00%	100.00%	100.00%	100.00%	99.21%	60.41%
1041	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1042	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1043	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9999	0.0001	0.0000	1.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	99.98%	100.00%	99.96%	100.00%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	100.00%
1044	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1045	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1046	GDIS	GENV	GDIS	GENV	GENV	0.4978	0.0046	0.4976	0.5000	0.0000	0.5000	0.5046	0.5000	0.5022	0.5000	0.5022	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.5024	0.5000	0.59%	1.04%	0.12%	1.04%	0.59%	1.04%	-97.93%	-97.93%	-97.93%	-97.93%	0.56%	1.04%
1047	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1048	GENV	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9998	1.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.90%	-97.93%
1049	GWEA	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9999	1.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
105	GDIS	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1050	GENV	GENV	GENV	GENV	GENV	0.9949	0.0008	0.0043	1.0000	0.0000	0.0000	0.0103	0.0000	0.0052	0.0000	0.0052	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0052	0.0000	98.98%	100.00%	97.97%	100.00%	98.98%	100.00%	100.00%	100.00%	100.00%	100.00%	98.98%	100.00%
1051	GDIS	GENV	GENV	GENV	GENV	0.9707	0.0010	0.0283	0.7500	0.0000	0.2500	0.0569	0.3750	0.0293	0.2500	0.0293	0.2500	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9717	0.7500	94.21%	50.52%	88.74%	25.78%	94.21%	50.52%	-97.93%	-97.93%	-97.93%	-97.93%	-92.33%	-48.45%
1052	GDIS	GENV	GENV	GENV	GENV	0.7761	0.0108	0.2131	0.6667	0.0000	0.3333	0.3522	0.4444	0.2239	0.3333	0.2239	0.3333	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.7869	0.6667	55.68%	34.02%	30.29%	12.03%	55.68%	34.02%	-97.93%	-97.93%	-97.93%	-97.93%	-55.75%	-31.95%
1053	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1054	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1055	GDIS	GDIS	GDIS	GDIS	GDIS	0.0964	0.0005	0.9031	0.4000	0.0000	0.6000	0.1751	0.4800	0.0969	0.4000	0.0969	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0969	0.4000	80.83%	20.83%	65.35%	4.99%	80.83%	20.83%	100.00%	100.00%	100.00%	100.00%	80.83%	20.83%
1056	GWEA	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9999	1.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1057	GDIS	GWEA	GWEA	GWEA	GWEA	0.0000	0.9991	0.0009	0.0000	0.8000	0.2000	0.0019	0.3200	0.0010	0.2000	0.0010	0.2000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9991	0.8000	99.81%	60.41%	99.62%	36.66%	99.81%	60.41%	-97.93%	-97.93%	-97.93%	-97.93%	-97.74%	-58.34%
1058	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
